pressure,pressure_coefficient,dynamic_pressure,absolute_pressure,total_pressure,rel_total_pressure,density,density_all,velocity_magnitude,x_velocity,y_velocity,z_velocity,axial_velocity,radial_velocity,tangential_velocity,rel_velocity_magnitude,relative_x_velocity,relative_y_velocity,relative_z_velocity,rel_tangential_velocity,mesh_x_velocity,mesh_y_velocity,mesh_z_velocity,velocity_angle,relative_velocity_angle,vorticity_mag,helicity,x_vorticity,y_vorticity,z_vorticity,cell_reynolds_number,turb_kinetic_energy,turb_intensity,turb_diss_rate,specific_diss_rate,production_of_k,viscosity_turb,viscosity_eff,viscosity_ratio,y_star,y_plus,turb_reynolds_number_rey,viscosity_lam,wall_shear,x_wall_shear,y_wall_shear,z_wall_shear,skin_friction_coef,cell_partition_active,cell_partition_stored,cell_id,cell_element_type,cell_type,cell_zone,partition_neighbors,cell_weight,x_coordinate,y_coordinate,z_coordinate,axial_coordinate,angular_coordinate,abs_angular_coordinate,radial_coordinate,face_area_magnitude,x_face_area,y_face_area,z_face_area,cell_volume,orthogonal_quality,cell_equiangle_skew,cell_equivolume_skew,face_handedness,mark_poor_elememts,interface_overlap_fraction,cell_wall_distance,adaption_function,adaption_curvature,adaption_space_gradient,adaption_iso_value,boundary_cell_dist,boundary_normal_dist,cell_volume_change,cell_surface_area,cell_warp,cell_children,cell_refine_level,mass_imbalance,strain_rate_mag,dx_velocity_dx,dy_velocity_dx,dz_velocity_dx,dx_velocity_dy,dy_velocity_dy,dz_velocity_dy,dx_velocity_dz,dy_velocity_dz,dz_velocity_dz,dp_dx,dp_dy,dp_dz,velocity:0,velocity:1,velocity:2,vtkOriginalPointIds,Points:0,Points:1,Points:2,vtkOriginalIndices,vtkCompositeIndexArray,,,,z,y,cp
29.6083,0.952022,0.0321732,74689.6,29.6402,29.6402,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85603,-1.85603,15.4737,-2.09655,9.62305,0.0586925,-5.98963,81.4386,0.00572585,0.0075063,0.0470113,197.098,0,2.29E-05,4.09E-05,1.27457,13.4215,8.64429,19.7438,1.80E-05,0.00101678,-0.000757217,0.000316588,-0.000109428,3.27E-05,1,1,5.03E+06,2,1,28,3,6,-0.001,2.53103,-0.300359,-0.300359,0.000395567,0.000395567,2.53103,0.000276612,7.06E-05,0.00010066,6.37E-05,1.87E-06,0.730628,0.373102,0.269312,0,0,0,0.00490939,7.45E-06,1.35E-07,1.13E-07,1.13E-07,1.01268,0,1.00909,0.00118098,0.188883,0,0,6.89E-10,17.9364,5.55155,0.805005,-1.59852,6.79463,-2.56082,-0.796042,-1.53983,-10.4191,0.953937,0,0,0,0,0,0,2,-0.001,2.53103,-0.300359,1,6,,,,-0.300359,2.50857,0.95126
29.5854,0.951203,0.0273275,74689.6,29.6099,29.6099,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82724,-1.82724,24.7624,2.74085,-7.76622,2.37997,-8.55208,74.4947,0.00600449,0.00788271,0.0554749,199.362,0,2.66E-05,4.46E-05,1.48217,14.3311,7.77828,21.4457,1.80E-05,0.000796322,-0.000466408,0.000198955,-0.00019807,2.56E-05,1,1,4.21E+06,2,1,28,3,6,-0.001,2.52258,-0.35,-0.35,0.000396182,0.000396182,2.52259,0.000308654,0.000132531,0.000174209,-2.95E-05,2.13E-06,0.670306,0.461134,0.329578,0,0,0,0.00501957,2.65E-05,1.21E-07,2.42E-07,2.42E-07,1.02549,0,1.15351,0.00131327,0.249313,0,0,2.53E-09,28.067,3.12154,-3.47813,-5.09503,5.07395,-10.9194,-6.00719,-2.71506,1.75903,-1.15841,0,0,0,0,0,0,4,-0.001,2.52258,-0.35,2,6,,,,-0.35,2.50384,0.441665
-13.7754,-0.437893,0.0280431,74646.2,-13.5905,-13.5905,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017959,0.017959,7177.26,-8.78611,7175.42,117.961,-46.6783,37.5366,0.00634704,0.00760511,214.298,1.24E+06,0,3.65E-10,1.80E-05,2.03E-05,0.696902,0.691135,0.150814,1.80E-05,0.115094,0.00123989,-0.109177,0.0363498,0.00370075,1,1,7.53E+06,6,1,28,3,7,-0.001,2.27957,0.0511711,0.0511711,0.000441056,0.000441056,2.27958,0.000216045,5.71E-07,-6.78E-05,-0.000203919,2.60E-08,0.0419333,0.323872,0.323872,0,0,0,3.69E-05,5.13E-08,2.84E-11,3.77E-10,3.77E-10,1,0,1.39437,0.000725349,0,0,0,1.57E-10,7242.87,0.00906247,-7.82925,0.0598016,38.849,-2148.04,694.682,118.02,-6480.74,2069.04,0,0,0,0,0,0,3,-0.001,2.27957,0.0511711,0,15,,,,0.0511711,2.48922,0.948613
19.8,0.645127,0.462294,74679.8,20.5258,20.5258,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238498,0.238498,7525.37,35.6908,7286.8,471.197,-1583.33,165.886,0.00547191,0.00674461,30.7556,198292,0,1.92E-09,1.80E-05,0.000106923,2.2599,2.25157,0.374069,1.80E-05,0.161932,0.0361607,-0.0431241,0.147524,0.00520678,1,1,7.54E+06,6,1,28,3,7,-0.001,2.51441,-0.188345,-0.188345,0.000397713,0.000397713,2.51441,0.000122386,2.58E-06,-0.000114124,-2.85E-05,3.47E-08,0.066379,0.537741,0.537741,0,0,0,0.000101703,1.28E-07,7.65E-11,1.75E-10,1.75E-10,1,0,1.61994,0.000387343,0,0,0,2.90E-09,7633.17,-38.8051,125.412,-113.219,1708.74,-1016.79,6573.29,357.978,-713.511,1783.95,0,0,0,0,0,0,5,-0.001,2.51441,-0.188345,1,15,,,,-0.188345,2.48446,0.501027
13.9552,0.441665,0.730499,74674,14.4664,14.4664,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794689,-0.794689,7164.7,192.537,2547.6,-719.392,-69.6698,225.481,0.0161779,0.0103069,70.0482,177694,0,5.29E-09,1.80E-05,0.000294259,2.52999,2.50153,0.597495,1.80E-05,0.178067,-0.0150237,-0.0357571,0.0920782,0.00572559,1,1,7.54E+06,6,1,28,3,7,-0.001,2.50384,-0.167055,-0.167055,0.000399674,0.000399675,2.50385,0.000139807,3.51E-06,-8.52E-05,-9.51E-05,4.66E-08,0.067411,0.495709,0.495709,0,0,0,0.000107368,9.52E-08,6.32E-11,1.56E-10,1.56E-10,1,0,1.49119,0.000483486,0,0,0,1.47E-09,7579.41,-14.3921,117.942,-97.8761,187.611,-1418.4,2960,-817.268,412.391,886.701,0,0,0,0,0,0,6,-0.001,2.50384,-0.167055,2,15,,,,-0.167055,2.46395,0.945354
8.431,0.260501,0.285539,74668.4,8.38714,8.38714,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0992358,0.0992358,14011.4,-94.1584,13943.8,199.575,-865.727,63.5331,0.0020395,0.00436736,68.022,1.48E+06,0,1.88E-10,1.80E-05,1.05E-05,1.01477,1.01345,0.101442,1.80E-05,0.225576,0.0135911,-0.04861,0.219372,0.0072532,1,1,7.54E+06,6,1,28,3,7,-0.001,2.41132,-0.045922,-0.045922,0.00041501,0.00041501,2.41132,4.08E-05,3.88E-07,-3.94E-05,-8.54E-06,4.35E-09,0.153431,0.505089,0.505089,0,0,0,3.96E-05,2.25E-08,8.97E-12,1.13E-10,1.13E-10,1,0,1.20651,0.000138793,0,0,0,-8.37E-10,18056.8,-7.14772,-20.7347,-24.577,844.992,-8298.45,12224.9,174.998,-1718.93,2792.9,0,0,0,0,0,0,10,-0.001,2.41132,-0.045922,3,15,,,,-0.045922,2.43956,0.943874
18.8864,0.603225,0.0144184,74678.9,18.7748,18.7748,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.10679,2.10679,3075.38,5.56073,-1847.63,390.553,-2106.66,23.8037,0.000927588,0.00194621,10.7399,899478,0,5.64E-11,1.80E-05,3.14E-06,0.587091,0.585816,0.0480045,1.80E-05,0.0545576,0.0406409,0.00541798,-0.0301389,0.00175426,1,1,7.55E+06,6,1,28,3,7,-0.001,2.43104,-0.143883,-0.143883,0.000412138,0.000412138,2.43104,0.000174834,8.20E-07,-0.000171053,-3.30E-05,2.49E-08,0.0765637,0.515301,0.515301,0,0,0,4.16E-05,5.84E-08,1.49E-11,2.29E-10,2.29E-10,1,0,1.37249,0.000595953,0,0,0,1.28E-09,3217.09,-1.60558,-4.11696,-5.94105,2102.54,797.944,-1710.32,384.612,137.305,-286.135,0,0,0,0,0,0,13,-0.001,2.43104,-0.143883,4,15,,,,-0.143883,2.4359,0.574253
-16.702,-0.53469,0.0788491,74643.3,-16.5501,-16.5501,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419294,-0.419294,6555.34,-20.0539,6552.25,13.0634,0.8448,67.6375,0.0190416,0.013216,427.067,715743,0,1.88E-09,1.80E-05,0.00010474,0.891128,0.868686,0.336525,1.80E-05,0.103887,-0.0010588,-0.0978949,0.0345396,0.0033404,1,1,7.53E+06,6,1,28,3,7,-0.001,2.31286,0.0397528,0.0397528,0.000427979,0.000427979,2.31287,0.00027157,1.15E-06,-9.02E-05,-0.000254801,4.18E-08,0.0551146,0.372999,0.372999,0,0,0,4.83E-05,8.73E-08,8.21E-11,2.97E-10,2.97E-10,1,0,1.37334,0.000893969,0,0,0,-2.83E-10,7067.35,0.0443268,-3.31518,-25.5733,-4.15998,-2178.09,376.798,-12.5098,-6175.45,1139.13,0,0,0,0,0,0,16,-0.001,2.31286,0.0397528,5,15,,,,0.0397528,2.43104,0.603225
-25.742,-0.843466,0.797494,74634.3,-25.4344,-25.4344,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62496,-1.62496,8528.42,308.508,8436.75,877.06,-337.214,205.091,0.091132,0.0251984,971.963,513634,0,1.88E-08,1.80E-05,0.00104647,1.68264,1.57196,0.940113,1.80E-05,0.174486,0.0245646,-0.160557,0.059574,0.00561046,1,1,7.55E+06,6,1,28,3,7,-0.001,2.34082,0.0296143,0.0296143,0.000427979,0.000427979,2.34083,0.000190978,1.18E-06,-6.55E-05,-0.000178091,3.89E-08,0.0564583,0.569577,0.569577,0,0,0,6.75E-05,1.07E-07,9.14E-11,1.70E-10,1.70E-10,1,0,1.13104,0.000675307,0,0,0,6.64E-10,11224.3,1.65728,9.94058,9.37959,347.154,-3114.84,250.653,886.439,-8186.1,469.457,0,0,0,0,0,0,17,-0.001,2.34082,0.0296143,6,15,,,,0.0296143,2.42628,0.611638
-32.3957,-1.06304,0.450706,74627.6,-32.6099,-32.6099,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.462173,0.462173,8964.75,600.352,7741.16,1905.22,-1651.19,149.953,0.103997,0.0285491,913.915,305818,0,3.08E-08,1.80E-05,0.00171416,2.08722,1.95406,1.3226,1.80E-05,0.196709,0.0843848,-0.111131,0.11163,0.00632501,1,1,7.55E+06,6,1,28,3,7,-0.001,2.39109,-0.00224628,-0.00224628,0.000416324,0.000416324,2.3911,0.00011153,2.16E-06,-7.70E-05,-7.79E-05,3.05E-08,0.104266,0.573416,0.573416,0,0,0,9.10E-05,5.31E-08,6.44E-11,7.30E-10,7.30E-10,1,0,2.19896,0.000385069,0,0,0,-2.03E-08,9436.21,-57.7565,63.7376,-3.8617,1714.92,-4063.12,3560.98,1901.36,-4180.18,3589.25,0,0,0,0,0,0,19,-0.001,2.39109,-0.00224628,7,15,,,,-0.00224628,2.42191,0.609313
